Year,NOC,Sex,Sport,Bronze,Gold,Silver,participates
2004,AFG,F,Athletics,0,0,0,1
2008,AFG,F,Athletics,0,0,0,1
2012,AFG,F,Athletics,0,0,0,1
2016,AFG,F,Athletics,0,0,0,1
2020,AFG,F,Athletics,0,0,0,1
2024,AFG,F,Athletics,0,0,0,1
2024,AFG,F,Cycling,0,0,0,2
2004,AFG,F,Judo,0,0,0,1
1936,AFG,M,Athletics,0,0,0,2
1960,AFG,M,Athletics,0,0,0,5
1996,AFG,M,Athletics,0,0,0,2
2004,AFG,M,Athletics,0,0,0,1
2008,AFG,M,Athletics,0,0,0,1
2012,AFG,M,Athletics,0,0,0,1
2016,AFG,M,Athletics,0,0,0,1
2020,AFG,M,Athletics,0,0,0,1
2024,AFG,M,Athletics,0,0,0,1
1980,AFG,M,Boxing,0,0,0,3
2004,AFG,M,Boxing,0,0,0,1
2012,AFG,M,Boxing,0,0,0,1
1948,AFG,M,Football,0,0,0,10
1936,AFG,M,Hockey,0,0,0,13
1948,AFG,M,Hockey,0,0,0,12
1956,AFG,M,Hockey,0,0,0,12
2012,AFG,M,Judo,0,0,0,1
2016,AFG,M,Judo,0,0,0,1
2024,AFG,M,Judo,0,0,0,1
2020,AFG,M,Shooting,0,0,0,1
2020,AFG,M,Swimming,0,0,0,1
2024,AFG,M,Swimming,0,0,0,1
2008,AFG,M,Taekwondo,1,0,0,2
2012,AFG,M,Taekwondo,1,0,0,2
2020,AFG,M,Taekwondo,0,0,0,1
1960,AFG,M,Wrestling,0,0,0,7
1964,AFG,M,Wrestling,0,0,0,8
1968,AFG,M,Wrestling,0,0,0,5
1972,AFG,M,Wrestling,0,0,0,8
1980,AFG,M,Wrestling,0,0,0,8
1988,AFG,M,Wrestling,0,0,0,5
2004,AFG,M,Wrestling,0,0,0,1
1984,AHO,F,Athletics,0,0,0,2
2000,AHO,F,Athletics,0,0,0,1
1968,AHO,F,Fencing,0,0,0,2
1992,AHO,F,Sailing,0,0,0,1
1988,AHO,F,Shooting,0,0,0,1
1984,AHO,F,Swimming,0,0,0,1
1984,AHO,F,Synchronized Swimming,0,0,0,2
1976,AHO,M,Athletics,0,0,0,2
1984,AHO,M,Athletics,0,0,0,1
1992,AHO,M,Athletics,0,0,0,1
1996,AHO,M,Athletics,0,0,0,1
2000,AHO,M,Athletics,0,0,0,1
2004,AHO,M,Athletics,0,0,0,2
2008,AHO,M,Athletics,0,0,0,1
2000,AHO,M,Equestrianism,0,0,0,1
2004,AHO,M,Equestrianism,0,0,0,1
1964,AHO,M,Fencing,0,0,0,1
1968,AHO,M,Fencing,0,0,0,1
1952,AHO,M,Football,0,0,0,11
1976,AHO,M,Judo,0,0,0,2
1996,AHO,M,Judo,0,0,0,1
1988,AHO,M,Sailing,0,0,1,1
1992,AHO,M,Sailing,0,0,0,1
1996,AHO,M,Sailing,0,0,0,2
2000,AHO,M,Sailing,0,0,0,1
1972,AHO,M,Shooting,0,0,0,1
1992,AHO,M,Shooting,0,0,0,1
1996,AHO,M,Shooting,0,0,0,1
2000,AHO,M,Shooting,0,0,0,1
2008,AHO,M,Shooting,0,0,0,1
1984,AHO,M,Swimming,0,0,0,2
1988,AHO,M,Swimming,0,0,0,1
1996,AHO,M,Swimming,0,0,0,1
2000,AHO,M,Swimming,0,0,0,1
2008,AHO,M,Swimming,0,0,0,1
2000,AHO,M,Triathlon,0,0,0,1
1960,AHO,M,Weightlifting,0,0,0,5
1964,AHO,M,Weightlifting,0,0,0,3
1968,AHO,M,Weightlifting,0,0,0,2
1972,AHO,M,Weightlifting,0,0,0,1
2024,AIN,F,Canoeing,0,0,0,2
2024,AIN,F,Cycling,0,0,0,3
2024,AIN,F,Gymnastics,0,0,1,2
2024,AIN,F,Rowing,0,0,0,1
2024,AIN,F,Shooting,0,0,0,2
2024,AIN,F,Swimming,0,0,0,2
2024,AIN,F,Tennis,0,0,1,4
2024,AIN,F,Weightlifting,0,0,0,1
2024,AIN,M,Canoeing,0,0,0,3
2024,AIN,M,Cycling,0,0,0,1
2024,AIN,M,Gymnastics,0,1,0,1
2024,AIN,M,Rowing,0,0,1,1
2024,AIN,M,Swimming,0,0,0,2
2024,AIN,M,Taekwondo,0,0,0,1
2024,AIN,M,Tennis,0,0,0,3
2024,AIN,M,Weightlifting,1,0,0,1
2024,AIN,M,Wrestling,0,0,0,2
1992,ALB,F,Athletics,0,0,0,1
1996,ALB,F,Athletics,0,0,0,2
2000,ALB,F,Athletics,0,0,0,1
2004,ALB,F,Athletics,0,0,0,1
2008,ALB,F,Athletics,0,0,0,1
2016,ALB,F,Athletics,0,0,0,1
2020,ALB,F,Athletics,0,0,0,1
2024,ALB,F,Athletics,0,0,0,1
2012,ALB,F,Judo,0,0,0,1
1972,ALB,F,Shooting,0,0,0,1
1992,ALB,F,Shooting,0,0,0,1
1996,ALB,F,Shooting,0,0,0,2
2000,ALB,F,Shooting,0,0,0,1
2008,ALB,F,Shooting,0,0,0,1
2020,ALB,F,Shooting,0,0,0,1
2024,ALB,F,Shooting,0,0,0,1
2004,ALB,F,Swimming,0,0,0,1
2008,ALB,F,Swimming,0,0,0,1
2012,ALB,F,Swimming,0,0,0,1
2016,ALB,F,Swimming,0,0,0,1
2020,ALB,F,Swimming,0,0,0,1
2024,ALB,F,Swimming,0,0,0,1
2008,ALB,F,Weightlifting,0,0,0,1
2012,ALB,F,Weightlifting,0,0,0,1
2016,ALB,F,Weightlifting,0,0,0,1
2000,ALB,M,Athletics,0,0,0,1
2004,ALB,M,Athletics,0,0,0,1
2008,ALB,M,Athletics,0,0,0,1
2012,ALB,M,Athletics,0,0,0,1
2016,ALB,M,Athletics,0,0,0,1
2020,ALB,M,Athletics,0,0,0,1
2024,ALB,M,Athletics,0,0,0,1
1996,ALB,M,Cycling,0,0,0,1
2020,ALB,M,Gymnastics,0,0,0,1
2008,ALB,M,Judo,0,0,0,1
2020,ALB,M,Judo,0,0,0,1
1972,ALB,M,Shooting,0,0,0,3
1992,ALB,M,Shooting,0,0,0,1
2012,ALB,M,Shooting,0,0,0,1
1992,ALB,M,Swimming,0,0,0,1
2004,ALB,M,Swimming,0,0,0,1
2008,ALB,M,Swimming,0,0,0,1
2012,ALB,M,Swimming,0,0,0,1
2016,ALB,M,Swimming,0,0,0,1
2020,ALB,M,Swimming,0,0,0,1
2024,ALB,M,Swimming,0,0,0,1
1972,ALB,M,Weightlifting,0,0,0,1
1992,ALB,M,Weightlifting,0,0,0,3
1996,ALB,M,Weightlifting,0,0,0,1
2000,ALB,M,Weightlifting,0,0,0,1
2004,ALB,M,Weightlifting,0,0,0,2
2008,ALB,M,Weightlifting,0,0,0,2
2012,ALB,M,Weightlifting,0,0,0,3
2016,ALB,M,Weightlifting,0,0,0,1
2020,ALB,M,Weightlifting,0,0,0,2
1996,ALB,M,Wrestling,0,0,0,1
2004,ALB,M,Wrestling,0,0,0,1
2008,ALB,M,Wrestling,0,0,0,2
2024,ALB,M,Wrestling,2,0,0,3
1988,ALG,F,Athletics,0,0,0,1
1992,ALG,F,Athletics,0,1,0,1
1996,ALG,F,Athletics,0,0,0,2
2000,ALG,F,Athletics,0,1,0,5
2004,ALG,F,Athletics,0,0,0,4
2008,ALG,F,Athletics,0,0,0,4
2012,ALG,F,Athletics,0,0,0,1
2016,ALG,F,Athletics,0,0,0,3
2020,ALG,F,Athletics,0,0,0,1
2024,ALG,F,Athletics,0,0,0,1
2024,ALG,F,Badminton,0,0,0,1
